Retriever,Query,Expected Chunk,Top Retrieved Chunk,Rank of Expected Chunk,Rank Error,Expected Score,Top Retrieved Score,Success,Recall@1,Recall@5,Recall@10,MRR,Expected Title,Retrieved Title,Expected Chunk Text,Top Retrieved Text
Vector,Who authored the paper 'Attention Is All You Need'?,55,436,,,,0.6923027038574219,False,False,False,False,0.0,Transformer (deep learning),Deep learning,"Positional encoding
A positional encoding is a fixed-size vector representation of the relative positions of tokens within a sequence: it provides the transformer model with information about where the words are in the input sequence. This induces a bias towards the order of the input sequence, so that, for example, the input sequence ""man bites dog"" is processed differently from ""dog bites man"".
",Deep Neural Network Estimations
Vector,In which year was 'FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness' published?,55,860,,,,0.5386940240859985,False,False,False,False,0.0,Transformer (deep learning),Reinforcement learning,"Positional encoding
A positional encoding is a fixed-size vector representation of the relative positions of tokens within a sequence: it provides the transformer model with information about where the words are in the input sequence. This induces a bias towards the order of the input sequence, so that, for example, the input sequence ""man bites dog"" is processed differently from ""dog bites man"".
","Sutton, Richard S.; Barto, Andrew G. (2018) [1998]. Reinforcement Learning: An Introduction (2nd ed.). MIT Press. ISBN 978-0-262-03924-6.
Szita, Istvan; Szepesvari, Csaba (2010). ""Model-based Reinforcement Learning with Nearly Tight Exploration Complexity Bounds"" (PDF). ICML 2010. Omnipress. pp. 1031–1038. Archived from the original (PDF) on 2010-07-14."
Vector,Which paper introduced Rotary Position Embedding?,55,436,,,,0.7521730661392212,False,False,False,False,0.0,Transformer (deep learning),Deep learning,"Positional encoding
A positional encoding is a fixed-size vector representation of the relative positions of tokens within a sequence: it provides the transformer model with information about where the words are in the input sequence. This induces a bias towards the order of the input sequence, so that, for example, the input sequence ""man bites dog"" is processed differently from ""dog bites man"".
",Deep Neural Network Estimations
Vector,What is the focus of Chen et al.'s paper?,56,17,,,,0.8120787143707275,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"(
        f
        (
        t
        
          )
          
            2
            k
          
        
        ,
        f
        (
        t
        
          )
          
            2
            k
            +
            1
          
        
        )
        =
        (
        sin
        ⁡
        (
        θ
        )
        ,
        cos
        ⁡
        (
        θ
      ","Efficient attention and long-context variants
A major research direction has been to make attention faster and more memory-efficient.
FlashAttention is an exact attention algorithm designed to reduce memory traffic between GPU high-bandwidth memory and on-chip SRAM, making attention much more efficient in practice. FlashAttention-3 further improves speed and accuracy with asynchrony and low-precis"
Vector,What is the main contribution of the paper?,56,618,,,,0.8414268493652344,False,False,False,False,0.0,Transformer (deep learning),BERT (language model),"(
        f
        (
        t
        
          )
          
            2
            k
          
        
        ,
        f
        (
        t
        
          )
          
            2
            k
            +
            1
          
        
        )
        =
        (
        sin
        ⁡
        (
        θ
        )
        ,
        cos
        ⁡
        (
        θ
      ","The three attention matrices are added together element-wise, then passed through a softmax layer and multiplied by a projection matrix.
Absolute position encoding is included in the final self-attention layer as additional input.

Notes
References
Further reading
Rogers, Anna; Kovaleva, Olga; Rumshisky, Anna (2020). ""A Primer in BERTology: What we know about how BERT works"". arXiv:2002.12327 [cs."
Vector,Which conference presented this paper?,56,665,,,,0.7726408839225769,False,False,False,False,0.0,Transformer (deep learning),GPT-4,"(
        f
        (
        t
        
          )
          
            2
            k
          
        
        ,
        f
        (
        t
        
          )
          
            2
            k
            +
            1
          
        
        )
        =
        (
        sin
        ⁡
        (
        θ
        )
        ,
        cos
        ⁡
        (
        θ
      ","Criticisms of transparency
While OpenAI released both the weights of the neural network and the technical details of GPT-2, and, although not releasing the weights, did release the technical details of GPT-3, OpenAI revealed neither the weights nor the technical details of GPT-4. This decision has been criticized by other AI researchers, who argue that it hinders open research into GPT-4's biases "
Vector,What were the predecessors of transformer models?,57,2,,,,0.5910646319389343,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"t
            
              r
              
                k
              
            
          
        
        ,
        r
        =
        
          N
          
            2
            
              /
            
            d
          
        
      
    
    {\displaystyle \theta ={\frac {t}{r^{k}}},r=N^{2/d}}
  
.
Here, 
  
    
      
        N
      
    
    {\displaystyle","History
Before transformers, many sequence tasks were dominated by recurrent neural networks and sequence-to-sequence models with attention. These models could achieve strong results, but they processed tokens in a largely serial way and were difficult to scale efficiently. The transformer replaced recurrence with attention-only blocks, making large-scale training more parallelizable.
The transfor"
Vector,What limitation did RNNs face with long sequences?,57,574,78.0,77.0,0.8473891019821167,0.638279139995575,False,False,False,False,0.01282051282051282,Transformer (deep learning),Prompt engineering,"t
            
              r
              
                k
              
            
          
        
        ,
        r
        =
        
          N
          
            2
            
              /
            
            d
          
        
      
    
    {\displaystyle \theta ={\frac {t}{r^{k}}},r=N^{2/d}}
  
.
Here, 
  
    
      
        N
      
    
    {\displaystyle","|
        
        
          
            
              X
              ~
            
          
        
        ∗
        
          X
          
            i
          
        
        ]
      
    
    {\displaystyle \arg \max _{\tilde {X}}\sum _{i}\log Pr[Y^{i}|{\tilde {X}}\ast X^{i}]}
  
 where 
  
    
      
        
          
            
              X
              ~
            "
Vector,What is an example of an early RNN model mentioned in the text?,57,666,,,,0.5453826189041138,False,False,False,False,0.0,Transformer (deep learning),Llama (language model),"t
            
              r
              
                k
              
            
          
        
        ,
        r
        =
        
          N
          
            2
            
              /
            
            d
          
        
      
    
    {\displaystyle \theta ={\frac {t}{r^{k}}},r=N^{2/d}}
  
.
Here, 
  
    
      
        N
      
    
    {\displaystyle","Llama (""Large Language Model Meta AI"" serving as a backronym) is a family of large language models (LLMs) released by Meta AI starting in February 2023.
Llama models come in different sizes, ranging from 1 billion to 2 trillion parameters. Initially only a foundation model, starting with Llama 2, Meta AI released instruction fine-tuned versions alongside foundation models.
Model weights for the fi"
Vector,What is LSTM?,58,303,40.0,39.0,0.8838260173797607,0.2919504940509796,False,False,False,False,0.025,Transformer (deep learning),Large language model,"f
        :
        
          R
        
        →
        
          
            C
          
          
            d
            
              /
            
            2
          
        
      
    
    {\displaystyle f:\mathbb {R} \to \mathbb {C} ^{d/2}}",Sentience
Vector,When was LSTM formally published?,58,692,,,,0.5920063257217407,False,False,False,False,0.0,Transformer (deep learning),Llama (language model),"f
        :
        
          R
        
        →
        
          
            C
          
          
            d
            
              /
            
            2
          
        
      
    
    {\displaystyle f:\mathbb {R} \to \mathbb {C} ^{d/2}}","Licensing
The first version of Llama was released under a non-commercial license to some researchers and entities on a case-by-case basis."
Vector,How does LSTM address the vanishing gradient problem?,58,831,27.0,26.0,0.8009154796600342,0.6790858507156372,False,False,False,False,0.037037037037037035,Transformer (deep learning),Reinforcement learning,"f
        :
        
          R
        
        →
        
          
            C
          
          
            d
            
              /
            
            2
          
        
      
    
    {\displaystyle f:\mathbb {R} \to \mathbb {C} ^{d/2}}","(
        θ
        )
        =
        
          ρ
          
            
              π
              
                θ
              
            
          
        
      
    
    {\displaystyle \rho (\theta )=\rho ^{\pi _{\theta }}}
  
 under mild conditions this function will be differentiable as a function of the parameter vector 
  
    
      
        θ
      
    
    {\displaystyl"
Vector,What are multiplicative units in relation to additive attention mechanisms?,59,187,,,,0.518038272857666,False,False,False,False,0.0,Transformer (deep learning),Attention (machine learning),"f
        (
        t
        )
        =
        
          
            (
            
              e
              
                i
                t
                
                  /
                
                
                  r
                  
                    k
                  
                
              
            
            )
          
          
            ","For convolutional neural networks, attention mechanisms can be distinguished by the dimension on which they operate, namely: spatial attention, channel attention, or combinations.
These variants recombine the encoder-side inputs to redistribute those effects to each target output. Often, a correlation-style matrix of dot products provides the re-weighting coefficients.  In the figures below, W is "
Vector,What is the additive attention mechanism?,59,183,,,,0.48734110593795776,False,False,False,False,0.0,Transformer (deep learning),Attention (machine learning),"f
        (
        t
        )
        =
        
          
            (
            
              e
              
                i
                t
                
                  /
                
                
                  r
                  
                    k
                  
                
              
            
            )
          
          
            ","History
Additional surveys of the attention mechanism in deep learning are provided by Niu et al. and Soydaner.
The major breakthrough came with self-attention, where each element in the input sequence attends to all others, enabling the model to capture global dependencies. This idea was central to the Transformer architecture, which replaced recurrence with attention mechanisms. As a result, Tra"
Vector,How do multiplicative units differ from additive attention mechanisms?,59,187,,,,0.5279717445373535,False,False,False,False,0.0,Transformer (deep learning),Attention (machine learning),"f
        (
        t
        )
        =
        
          
            (
            
              e
              
                i
                t
                
                  /
                
                
                  r
                  
                    k
                  
                
              
            
            )
          
          
            ","For convolutional neural networks, attention mechanisms can be distinguished by the dimension on which they operate, namely: spatial attention, channel attention, or combinations.
These variants recombine the encoder-side inputs to redistribute those effects to each target output. Often, a correlation-style matrix of dot products provides the re-weighting coefficients.  In the figures below, W is "
Vector,What are neural networks using multiplicative units called?,60,310,,,,0.4556344747543335,False,False,False,False,0.0,Transformer (deep learning),Neural network (machine learning),"r
        =
        
          N
          
            2
            
              /
            
            d
          
        
      
    
    {\displaystyle r=N^{2/d}}
  
.
The main reason for using this positional encoding function is that using it, shifts are linear transformations:
  
    
      
        f
        (
        t
        +
        Δ
        t
        )
        =
        
  ","In machine learning, a neural network (NN) or neural net, is a computational model inspired by the structure and functions of biological neural networks.
A neural network consists of connected units or nodes called artificial neurons, which loosely model the neurons in the brain. Artificial neuron models that mimic biological neurons more closely have also been recently investigated and shown to s"
Vector,When did transformers become the standard architecture for long sequence modelling?,60,27,,,,0.4328887164592743,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"r
        =
        
          N
          
            2
            
              /
            
            d
          
        
      
    
    {\displaystyle r=N^{2/d}}
  
.
The main reason for using this positional encoding function is that using it, shifts are linear transformations:
  
    
      
        f
        (
        t
        +
        Δ
        t
        )
        =
        
  ","A key breakthrough was LSTM (originally described in a 1995 technical report and formally published in 1997), an RNN that introduced gating mechanisms to mitigate the vanishing gradient problem, allowing efficient learning of long-sequence modelling. One key architectural element was the use of multiplicative gating units, in which the outputs of some neurons modulate the outputs of others. These "
Vector,Why can't RNNs process tokens in parallel?,60,3,,,,0.6431448459625244,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"r
        =
        
          N
          
            2
            
              /
            
            d
          
        
      
    
    {\displaystyle r=N^{2/d}}
  
.
The main reason for using this positional encoding function is that using it, shifts are linear transformations:
  
    
      
        f
        (
        t
        +
        Δ
        t
        )
        =
        
  ","Core idea
The main idea is simple: each token should be able to look at other tokens and decide which ones matter most. Instead of processing a sequence step by step like an RNN, the transformer computes relationships between all relevant tokens in parallel. This makes it easier to learn long-range dependencies, copying behavior, alignment, retrieval-style reasoning, and context-sensitive interpre"
Vector,What is the main computational drawback of modern transformers?,61,16,32.0,31.0,0.7531015872955322,0.55007404088974,False,False,False,False,0.03125,Transformer (deep learning),Transformer (deep learning),"is the distance one wishes to shift. This allows the transformer to take any encoded position, and find the encoding of the position n-steps-ahead or n-steps-behind, by a matrix multiplication.
By taking a linear sum, any convolution can also be implemented as linear transformations:
  
    
      
        
          ∑
          
            j
          
        
        
          c
          
  ","for causal decoders.

Why transformers replaced many older sequence models
Transformers have several practical advantages.
They allow parallel processing during training, which is much faster on modern accelerators than fully sequential recurrence. They usually handle long-range dependencies better than classic RNNs. They scale well with large datasets and large model sizes. They also fit naturall"
Vector,What is the fast weight controller?,61,28,,,,0.7895007729530334,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"is the distance one wishes to shift. This allows the transformer to take any encoded position, and find the encoding of the position n-steps-ahead or n-steps-behind, by a matrix multiplication.
By taking a linear sum, any convolution can also be implemented as linear transformations:
  
    
      
        
          ∑
          
            j
          
        
        
          c
          
  ","Modern transformers overcome this problem, but unlike RNNs, they require computation time that is quadratic in the size of the context window. The linearly scaling fast weight controller (1992) learns to compute a weight matrix for further processing depending on the input. One of its two networks has ""fast weights"" or ""dynamic links"" (1981). A slow neural network learns by gradient descent to gen"
Vector,How do the two networks in the fast weight controller interact?,61,28,,,,0.6744188070297241,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"is the distance one wishes to shift. This allows the transformer to take any encoded position, and find the encoding of the position n-steps-ahead or n-steps-behind, by a matrix multiplication.
By taking a linear sum, any convolution can also be implemented as linear transformations:
  
    
      
        
          ∑
          
            j
          
        
        
          c
          
  ","Modern transformers overcome this problem, but unlike RNNs, they require computation time that is quadratic in the size of the context window. The linearly scaling fast weight controller (1992) learns to compute a weight matrix for further processing depending on the input. One of its two networks has ""fast weights"" or ""dynamic links"" (1981). A slow neural network learns by gradient descent to gen"
Vector,What is the purpose of generating keys and values in the fast neural network?,62,416,,,,0.6146924495697021,False,False,False,False,0.0,Transformer (deep learning),Deep learning,"d
              i
              a
              g
            
            (
            f
            (
            Δ
            
              t
              
                j
              
            
            )
            )
          
          )
        
        f
        (
        t
        )
      
    
    {\displaystyle \sum _{j}c_{j}f(t+\Delta t_{j})=\left(\sum _{j}c_{j}\,\mathr","DNNs are typically feedforward networks in which data flows from the input layer to the output layer without looping back. At first, the DNN creates a map of virtual neurons and assigns random numerical values, or ""weights"", to connections between them. The weights and inputs are multiplied and return an output between 0 and 1. If the network did not accurately recognize a particular pattern, an a"
Vector,What is the generation of keys and values for computing weight changes equivalent to?,62,73,,,,0.6419374942779541,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"d
              i
              a
              g
            
            (
            f
            (
            Δ
            
              t
              
                j
              
            
            )
            )
          
          )
        
        f
        (
        t
        )
      
    
    {\displaystyle \sum _{j}c_{j}f(t+\Delta t_{j})=\left(\sum _{j}c_{j}\,\mathr","=
        
          d
          
            query
          
        
      
    
    {\displaystyle d_{\text{emb, query}}=d_{\text{query}}}
  
, etc.
Attention weights are calculated using the query and key vectors: the attention weight 
  
    
      
        
          a
          
            i
            j
          
        
      
    
    {\displaystyle a_{ij}}
  
 from token 
  
    
 "
Vector,What does the fast neural network compute?,62,310,,,,0.5467239618301392,False,False,False,False,0.0,Transformer (deep learning),Neural network (machine learning),"d
              i
              a
              g
            
            (
            f
            (
            Δ
            
              t
              
                j
              
            
            )
            )
          
          )
        
        f
        (
        t
        )
      
    
    {\displaystyle \sum _{j}c_{j}f(t+\Delta t_{j})=\left(\sum _{j}c_{j}\,\mathr","In machine learning, a neural network (NN) or neural net, is a computational model inspired by the structure and functions of biological neural networks.
A neural network consists of connected units or nodes called artificial neurons, which loosely model the neurons in the brain. Artificial neuron models that mimic biological neurons more closely have also been recently investigated and shown to s"
Vector,When was the encoder–decoder sequence transduction developed?,63,29,,,,0.4025666117668152,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"for any constants 
  
    
      
        
          c
          
            j
          
        
      
    
    {\displaystyle c_{j}}
  
. This allows the transformer to take any encoded position and find a linear sum of the encoded locations of its neighbors. This sum of encoded positions, when fed into the attention mechanism, would create attention weights on its neighbors, much like what h","Attention with seq2seq
The idea of encoder–decoder sequence transduction had been developed in the early 2010s; commonly cited as the originators that produced seq2seq are two concurrently published papers from 2014.
A 380M-parameter model for machine translation uses two long short-term memories (LSTM). Its architecture consists of two parts. The encoder is an LSTM that takes in a sequence of tok"
Vector,Who are the originators of the seq2seq model?,63,29,,,,0.5266493558883667,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"for any constants 
  
    
      
        
          c
          
            j
          
        
      
    
    {\displaystyle c_{j}}
  
. This allows the transformer to take any encoded position and find a linear sum of the encoded locations of its neighbors. This sum of encoded positions, when fed into the attention mechanism, would create attention weights on its neighbors, much like what h","Attention with seq2seq
The idea of encoder–decoder sequence transduction had been developed in the early 2010s; commonly cited as the originators that produced seq2seq are two concurrently published papers from 2014.
A 380M-parameter model for machine translation uses two long short-term memories (LSTM). Its architecture consists of two parts. The encoder is an LSTM that takes in a sequence of tok"
Vector,What is the significance of the 2014 papers in seq2seq development?,63,29,,,,0.6822884678840637,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"for any constants 
  
    
      
        
          c
          
            j
          
        
      
    
    {\displaystyle c_{j}}
  
. This allows the transformer to take any encoded position and find a linear sum of the encoded locations of its neighbors. This sum of encoded positions, when fed into the attention mechanism, would create attention weights on its neighbors, much like what h","Attention with seq2seq
The idea of encoder–decoder sequence transduction had been developed in the early 2010s; commonly cited as the originators that produced seq2seq are two concurrently published papers from 2014.
A 380M-parameter model for machine translation uses two long short-term memories (LSTM). Its architecture consists of two parts. The encoder is an LSTM that takes in a sequence of tok"
Vector,What type of architecture does the 380M-parameter model use?,64,666,,,,0.6064475774765015,False,False,False,False,0.0,Transformer (deep learning),Llama (language model),"Encoder–decoder (overview)
Like earlier seq2seq models, the original transformer model used an encoder–decoder architecture. The encoder consists of encoding layers that process all the input tokens together one layer after another, while the decoder consists of decoding layers that iteratively process the encoder's output and the decoder's output tokens so far.
The purpose of each encoder layer i","Llama (""Large Language Model Meta AI"" serving as a backronym) is a family of large language models (LLMs) released by Meta AI starting in February 2023.
Llama models come in different sizes, ranging from 1 billion to 2 trillion parameters. Initially only a foundation model, starting with Llama 2, Meta AI released instruction fine-tuned versions alongside foundation models.
Model weights for the fi"
Vector,What component did the 130M-parameter model use instead of LSTM?,64,592,,,,0.5672715902328491,False,False,False,False,0.0,Transformer (deep learning),BERT (language model),"Encoder–decoder (overview)
Like earlier seq2seq models, the original transformer model used an encoder–decoder architecture. The encoder consists of encoding layers that process all the input tokens together one layer after another, while the decoder consists of decoding layers that iteratively process the encoder's output and the decoder's output tokens so far.
The purpose of each encoder layer i","BERT was originally implemented in the English language at two model sizes, BERTBASE (110 million parameters) and BERTLARGE (340 million parameters). Both were trained on the Toronto BookCorpus (800M words) and English Wikipedia  (2,500M words). The weights were released on GitHub. On March 11, 2020, 24 smaller models were released, the smallest being BERTTINY with just 4 million parameters."
Vector,How do GRUs compare to LSTMs for seq2seq tasks according to later research?,64,31,21.0,20.0,0.7431020736694336,0.5919662714004517,False,False,False,False,0.047619047619047616,Transformer (deep learning),Transformer (deep learning),"Encoder–decoder (overview)
Like earlier seq2seq models, the original transformer model used an encoder–decoder architecture. The encoder consists of encoding layers that process all the input tokens together one layer after another, while the decoder consists of decoding layers that iteratively process the encoder's output and the decoder's output tokens so far.
The purpose of each encoder layer i","The relative performances were compared between global (that of RNN search) and local (sliding window) attention model architectures for machine translation, finding that mixed attention had higher quality than global attention, while local attention reduced translation time.
In 2016, Google Translate was revamped to Google Neural Machine Translation, which replaced the previous model based on sta"
Vector,What limitation did early seq2seq models have?,65,30,,,,0.5425816178321838,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),Both the encoder and decoder layers have a feed-forward neural network for additional processing of their outputs and contain residual connections and layer normalization steps. These feed-forward layers contain most of the parameters in a transformer model.,"These early seq2seq models had no attention mechanism, and the state vector is accessible only after the last word of the source text was processed. Although in theory such a vector retains the information about the whole original sentence, in practice the information is poorly preserved. This is because the input is processed sequentially by one recurrent network into a fixed-size output vector, "
Vector,When is the state vector accessible in early seq2seq models?,65,30,,,,0.545529305934906,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),Both the encoder and decoder layers have a feed-forward neural network for additional processing of their outputs and contain residual connections and layer normalization steps. These feed-forward layers contain most of the parameters in a transformer model.,"These early seq2seq models had no attention mechanism, and the state vector is accessible only after the last word of the source text was processed. Although in theory such a vector retains the information about the whole original sentence, in practice the information is poorly preserved. This is because the input is processed sequentially by one recurrent network into a fixed-size output vector, "
Vector,Why is information poorly preserved in early seq2seq models?,65,30,,,,0.5080513954162598,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),Both the encoder and decoder layers have a feed-forward neural network for additional processing of their outputs and contain residual connections and layer normalization steps. These feed-forward layers contain most of the parameters in a transformer model.,"These early seq2seq models had no attention mechanism, and the state vector is accessible only after the last word of the source text was processed. Although in theory such a vector retains the information about the whole original sentence, in practice the information is poorly preserved. This is because the input is processed sequentially by one recurrent network into a fixed-size output vector, "
Vector,What issue arises when the input is long in the described process?,66,296,,,,0.7416322231292725,False,False,False,False,0.0,Transformer (deep learning),Large language model,"Feedforward network
The feedforward network (FFN) modules in a transformer are 2-layered multilayer perceptrons:
  
    
      
        
          F
          F
          N
        
        (
        x
        )
        =
        ϕ
        (
        x
        
          W
          
            (
            1
            )
          
        
        +
        
          b
          
            ","Memorization was an emergent behavior in early, completion language models in which long strings of text are occasionally output verbatim from training data, contrary to the typical behavior of traditional artificial neural networks. Evaluations of controlled LLM output measure the amount memorized from training data (focused on GPT-2-series models) as variously over 1% for exact duplicates or up "
Vector,What evidence is provided to support the problem with long inputs?,66,27,,,,0.7218959331512451,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"Feedforward network
The feedforward network (FFN) modules in a transformer are 2-layered multilayer perceptrons:
  
    
      
        
          F
          F
          N
        
        (
        x
        )
        =
        ϕ
        (
        x
        
          W
          
            (
            1
            )
          
        
        +
        
          b
          
            ","A key breakthrough was LSTM (originally described in a 1995 technical report and formally published in 1997), an RNN that introduced gating mechanisms to mitigate the vanishing gradient problem, allowing efficient learning of long-sequence modelling. One key architectural element was the use of multiplicative gating units, in which the outputs of some neurons modulate the outputs of others. These "
Vector,What component processes the input into an output in the described system?,66,246,,,,0.6747742891311646,False,False,False,False,0.0,Transformer (deep learning),Large language model,"Feedforward network
The feedforward network (FFN) modules in a transformer are 2-layered multilayer perceptrons:
  
    
      
        
          F
          F
          N
        
        (
        x
        )
        =
        ϕ
        (
        x
        
          W
          
            (
            1
            )
          
        
        +
        
          b
          
            ","Forms of input and output
Multimodality
Multimodality means having multiple modalities, where a ""modality"" refers to a type of input or output, such as video, image, audio, text, proprioception, etc. For example, Google PaLM model was fine-tuned into a multimodal model and applied to robotic control. LLaMA models have also been turned multimodal using the tokenization method, to allow image inputs"
Vector,What problem did the attention mechanism address in the RNN search model?,67,183,,,,0.5090570449829102,False,False,False,False,0.0,Transformer (deep learning),Attention (machine learning),"(
            1
            )
          
        
      
    
    {\displaystyle W^{(1)}}
  
 and 
  
    
      
        
          W
          
            (
            2
            )
          
        
      
    
    {\displaystyle W^{(2)}}
  
 are weight matrices and 
  
    
      
        
          b
          
            (
            1
            )
          
        
      
    
  ","History
Additional surveys of the attention mechanism in deep learning are provided by Niu et al. and Soydaner.
The major breakthrough came with self-attention, where each element in the input sequence attends to all others, enabling the model to capture global dependencies. This idea was central to the Transformer architecture, which replaced recurrence with attention mechanisms. As a result, Tra"
Vector,How does the attention mechanism improve the RNN search model?,67,183,,,,0.4697493314743042,False,False,False,False,0.0,Transformer (deep learning),Attention (machine learning),"(
            1
            )
          
        
      
    
    {\displaystyle W^{(1)}}
  
 and 
  
    
      
        
          W
          
            (
            2
            )
          
        
      
    
    {\displaystyle W^{(2)}}
  
 are weight matrices and 
  
    
      
        
          b
          
            (
            1
            )
          
        
      
    
  ","History
Additional surveys of the attention mechanism in deep learning are provided by Niu et al. and Soydaner.
The major breakthrough came with self-attention, where each element in the input sequence attends to all others, enabling the model to capture global dependencies. This idea was central to the Transformer architecture, which replaced recurrence with attention mechanisms. As a result, Tra"
Vector,Why is the RNN search model named as such?,67,612,,,,0.4666830897331238,False,False,False,False,0.0,Transformer (deep learning),BERT (language model),"(
            1
            )
          
        
      
    
    {\displaystyle W^{(1)}}
  
 and 
  
    
      
        
          W
          
            (
            2
            )
          
        
      
    
    {\displaystyle W^{(2)}}
  
 are weight matrices and 
  
    
      
        
          b
          
            (
            1
            )
          
        
      
    
  ","On October 25, 2019, Google announced that they had started applying BERT models to English-language search queries on Google Search within the US. On December 9, 2019, it was reported that BERT had been adopted by Google Search for over 70 languages. In October 2020, almost every single English-based query was processed by a BERT model."
Vector,What was compared between global and local attention models?,68,31,,,,0.4263300895690918,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"{\displaystyle b^{(2)}}
  
 are bias vectors, and 
  
    
      
        ϕ
      
    
    {\displaystyle \phi }
  
 is its activation function. The original transformer used ReLU activation.
The number of neurons in the middle layer is called intermediate size (GPT), filter size (BERT), or feedforward size (BERT). It is typically larger than the embedding size. For example, in both GPT-2 series ","The relative performances were compared between global (that of RNN search) and local (sliding window) attention model architectures for machine translation, finding that mixed attention had higher quality than global attention, while local attention reduced translation time.
In 2016, Google Translate was revamped to Google Neural Machine Translation, which replaced the previous model based on sta"
Vector,Which attention type had higher quality than global attention?,68,31,,,,0.5492686033248901,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"{\displaystyle b^{(2)}}
  
 are bias vectors, and 
  
    
      
        ϕ
      
    
    {\displaystyle \phi }
  
 is its activation function. The original transformer used ReLU activation.
The number of neurons in the middle layer is called intermediate size (GPT), filter size (BERT), or feedforward size (BERT). It is typically larger than the embedding size. For example, in both GPT-2 series ","The relative performances were compared between global (that of RNN search) and local (sliding window) attention model architectures for machine translation, finding that mixed attention had higher quality than global attention, while local attention reduced translation time.
In 2016, Google Translate was revamped to Google Neural Machine Translation, which replaced the previous model based on sta"
Vector,What effect did local attention have on translation time?,68,31,,,,0.5901965498924255,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"{\displaystyle b^{(2)}}
  
 are bias vectors, and 
  
    
      
        ϕ
      
    
    {\displaystyle \phi }
  
 is its activation function. The original transformer used ReLU activation.
The number of neurons in the middle layer is called intermediate size (GPT), filter size (BERT), or feedforward size (BERT). It is typically larger than the embedding size. For example, in both GPT-2 series ","The relative performances were compared between global (that of RNN search) and local (sliding window) attention model architectures for machine translation, finding that mixed attention had higher quality than global attention, while local attention reduced translation time.
In 2016, Google Translate was revamped to Google Neural Machine Translation, which replaced the previous model based on sta"
Vector,What was the new model introduced in 2016 for Google Translate?,69,666,,,,0.5525703430175781,False,False,False,False,0.0,Transformer (deep learning),Llama (language model),"Scaled dot-product attention
Attention head
The attention mechanism used in the transformer architecture are scaled dot-product attention units. For each unit, the transformer model learns three weight matrices: the query weights 
  
    
      
        
          W
          
            Q
          
        
      
    
    {\displaystyle W^{Q}}
  
, the key weights 
  
    
      
        
    ","Llama (""Large Language Model Meta AI"" serving as a backronym) is a family of large language models (LLMs) released by Meta AI starting in February 2023.
Llama models come in different sizes, ranging from 1 billion to 2 trillion parameters. Initially only a foundation model, starting with Llama 2, Meta AI released instruction fine-tuned versions alongside foundation models.
Model weights for the fi"
Vector,What type of model was used in the new Google Translate system?,69,666,,,,0.49260371923446655,False,False,False,False,0.0,Transformer (deep learning),Llama (language model),"Scaled dot-product attention
Attention head
The attention mechanism used in the transformer architecture are scaled dot-product attention units. For each unit, the transformer model learns three weight matrices: the query weights 
  
    
      
        
          W
          
            Q
          
        
      
    
    {\displaystyle W^{Q}}
  
, the key weights 
  
    
      
        
    ","Llama (""Large Language Model Meta AI"" serving as a backronym) is a family of large language models (LLMs) released by Meta AI starting in February 2023.
Llama models come in different sizes, ranging from 1 billion to 2 trillion parameters. Initially only a foundation model, starting with Llama 2, Meta AI released instruction fine-tuned versions alongside foundation models.
Model weights for the fi"
Vector,How long did it take to develop the new model compared to the statistical approach?,69,31,,,,0.6306504607200623,False,False,False,False,0.0,Transformer (deep learning),Transformer (deep learning),"Scaled dot-product attention
Attention head
The attention mechanism used in the transformer architecture are scaled dot-product attention units. For each unit, the transformer model learns three weight matrices: the query weights 
  
    
      
        
          W
          
            Q
          
        
      
    
    {\displaystyle W^{Q}}
  
, the key weights 
  
    
      
        
    ","The relative performances were compared between global (that of RNN search) and local (sliding window) attention model architectures for machine translation, finding that mixed attention had higher quality than global attention, while local attention reduced translation time.
In 2016, Google Translate was revamped to Google Neural Machine Translation, which replaced the previous model based on sta"
